ID,VelkySgSNID,InstituceNID,VelkySgSN,InstituceN
1,38,9,Analýza,Dům techniky ČSVTS Pardubice
2,2219,40,Sociologie slovenská,Komenského univerzita v Bratislavě
4,2127,5,Sociologie česká do r. 1948,Československá akademie zemědělská
6,2791,7,Výzkum veřejného mínění,Československý ústav pro výzkum veřejného mínění
8,2259,9,Socware,Dům techniky ČSVTS Pardubice
10,1216,12,Management vědecký,Masarykova akademie práce
12,1535,15,Otázka ženská,Sociologický ústav AV ČR
14,2128,15,Sociologie česká v l. 1948–1994,Sociologický ústav AV ČR
16,2128,16,Sociologie česká v l. 1948–1994,Sociologický ústav ČSAV
18,2196,16,Sociologie podniku,Sociologický ústav ČSAV
20,2128,18,Sociologie česká v l. 1948–1994,Sportpropag
22,2128,22,Sociologie česká v l. 1948–1994,Ústav pro filosofii a sociologii ČSAV
24,2128,24,Sociologie česká v l. 1948–1994,Ústav pro výzkum veřejného mínění ČSAV
26,2791,24,Výzkum veřejného mínění,Ústav pro výzkum veřejného mínění ČSAV
28,2791,25,Výzkum veřejného mínění,Ústav pro výzkum veřejného mínění FSÚ
30,2128,26,Sociologie česká v l. 1948–1994,Ústav sociálně politických věd UK
32,2128,30,Sociologie česká v l. 1948–1994,Výzkumný ústav sociálního rozvoje a práce
34,2127,33,Sociologie česká do r. 1948,Biskupské semináře
36,610,39,Fašismus český,Karlova univerzita v Praze
38,2127,39,Sociologie česká do r. 1948,Karlova univerzita v Praze
40,2128,39,Sociologie česká v l. 1948–1994,Karlova univerzita v Praze
43,1175,41,Lékařství sociální,Masarykova univerzita v Brně
45,2127,41,Sociologie česká do r. 1948,Masarykova univerzita v Brně
47,2128,41,Sociologie česká v l. 1948–1994,Masarykova univerzita v Brně
49,610,43,Fašismus český,Německá univerzita v Praze
51,2127,45,Sociologie česká do r. 1948,Palackého univerzita v Olomouci
53,2128,45,Sociologie česká v l. 1948–1994,Palackého univerzita v Olomouci
55,2128,52,Sociologie česká v l. 1948–1994,Vojenská politická akademie Klementa Gottwalda v Praze
57,2196,54,Sociologie podniku,Vysoká škola ekonomická v Praze
59,2127,56,Sociologie česká do r. 1948,Vysoká škola politická a sociální v Praze
61,2128,57,Sociologie česká v l. 1948–1994,Vysoká škola politická ÚV KSČ v Praze
63,2127,58,Sociologie česká do r. 1948,Vysoká škola sociální v Brně
65,2196,59,Sociologie podniku,Vysoká škola strojní a elektrotechnická v Plzni
67,322,62,Demografie,Česká demografická společnost
69,2128,63,Sociologie česká v l. 1948–1994,Česká sociologická společnost
71,2128,64,Sociologie česká v l. 1948–1994,Československá sociologická společnost při ČSAV
73,2130,64,Sociologie deviantního chování,Československá sociologická společnost při ČSAV
75,2175,64,Sociologie marxisticko-leninská,Československá sociologická společnost při ČSAV
77,2181,64,Sociologie mládeže,Československá sociologická společnost při ČSAV
79,2219,64,Sociologie slovenská,Československá sociologická společnost při ČSAV
81,2249,64,Sociologie vojenství,Československá sociologická společnost při ČSAV
83,2128,68,Sociologie česká v l. 1948–1994,Společnost pro sociální bádání
85,2128,72,Sociologie česká v l. 1948–1994,Sociologická knižnice nakladatelství Svoboda
87,2128,73,Sociologie česká v l. 1948–1994,Sociologické nakladatelství (SLON)
