index,vs_ID,siz_ID,vs,siz
1,38,9,Analýza,Dům techniky ČSVTS Pardubice
2,38,116,Analýza,Analýza (časopis)
3,322,107,Demografie,Statistika
4,322,117,Demografie,Demografie (časopis)
5,1562,95,Parlament,Sociální problémy
6,1562,118,Parlament,Parlament (časopis)
7,2219,40,Sociologie slovenská,Komenského univerzita v Bratislavě
8,2254,105,Sociologie zemědělství,Sociologie a historie zemědělství
9,2555,119,Teorie vědy,Teorie vědy (časopis)
11,2127,5,Sociologie česká do r. 1948,Československá akademie zemědělská
13,2791,7,Výzkum veřejného mínění,Československý ústav pro výzkum veřejného mínění
15,2259,9,Socware,Dům techniky ČSVTS Pardubice
17,1216,12,Management vědecký,Masarykova akademie práce
19,1535,15,Otázka ženská,Sociologický ústav AV ČR
21,2128,15,Sociologie česká v l. 1948–1994,Sociologický ústav AV ČR
23,2128,16,Sociologie česká v l. 1948–1994,Sociologický ústav ČSAV
25,2196,16,Sociologie podniku,Sociologický ústav ČSAV
27,2128,18,Sociologie česká v l. 1948–1994,Sportpropag
29,2128,22,Sociologie česká v l. 1948–1994,Ústav pro filosofii a sociologii ČSAV
31,2128,24,Sociologie česká v l. 1948–1994,Ústav pro výzkum veřejného mínění ČSAV
33,2791,24,Výzkum veřejného mínění,Ústav pro výzkum veřejného mínění ČSAV
35,2791,25,Výzkum veřejného mínění,Ústav pro výzkum veřejného mínění FSÚ
37,2128,26,Sociologie česká v l. 1948–1994,Ústav sociálně politických věd UK
39,2128,30,Sociologie česká v l. 1948–1994,Výzkumný ústav sociálního rozvoje a práce
41,2127,33,Sociologie česká do r. 1948,Biskupské semináře
43,610,39,Fašismus český,Karlova univerzita v Praze
45,2127,39,Sociologie česká do r. 1948,Karlova univerzita v Praze
47,2128,39,Sociologie česká v l. 1948–1994,Karlova univerzita v Praze
50,1175,41,Lékařství sociální,Masarykova univerzita v Brně
52,2127,41,Sociologie česká do r. 1948,Masarykova univerzita v Brně
54,2128,41,Sociologie česká v l. 1948–1994,Masarykova univerzita v Brně
56,610,43,Fašismus český,Německá univerzita v Praze
58,2127,45,Sociologie česká do r. 1948,Palackého univerzita v Olomouci
60,2128,45,Sociologie česká v l. 1948–1994,Palackého univerzita v Olomouci
62,2128,52,Sociologie česká v l. 1948–1994,Vojenská politická akademie Klementa Gottwalda v Praze
64,2196,54,Sociologie podniku,Vysoká škola ekonomická v Praze
66,2127,56,Sociologie česká do r. 1948,Vysoká škola politická a sociální v Praze
68,2128,57,Sociologie česká v l. 1948–1994,Vysoká škola politická ÚV KSČ v Praze
70,2127,58,Sociologie česká do r. 1948,Vysoká škola sociální v Brně
72,2196,59,Sociologie podniku,Vysoká škola strojní a elektrotechnická v Plzni
74,322,62,Demografie,Česká demografická společnost
76,2128,63,Sociologie česká v l. 1948–1994,Česká sociologická společnost
78,2128,64,Sociologie česká v l. 1948–1994,Československá sociologická společnost při ČSAV
80,2130,64,Sociologie deviantního chování,Československá sociologická společnost při ČSAV
82,2175,64,Sociologie marxisticko-leninská,Československá sociologická společnost při ČSAV
84,2181,64,Sociologie mládeže,Československá sociologická společnost při ČSAV
86,2219,64,Sociologie slovenská,Československá sociologická společnost při ČSAV
88,2249,64,Sociologie vojenství,Československá sociologická společnost při ČSAV
90,2128,68,Sociologie česká v l. 1948–1994,Společnost pro sociální bádání
92,2128,72,Sociologie česká v l. 1948–1994,Biograf
94,323,79,Demografie historická,Historická demografie
96,1728,95,Pražský lingvistický kroužek,Sociální problémy
98,2127,95,Sociologie česká do r. 1948,Sociální problémy
100,2127,101,Sociologie česká do r. 1948,Sociologická revue
102,2128,102,Sociologie česká v l. 1948–1994,Sociologické aktuality
104,2128,103,Sociologie česká v l. 1948–1994,Sociologický časopis / Czech Sociological Review
106,2219,103,Sociologie slovenská,Sociologický časopis / Czech Sociological Review
108,2869,103,Ženy v sociologii,Sociologický časopis / Czech Sociological Review
110,541,104,Etika vědy,Sociologický obzor
112,2128,104,Sociologie česká v l. 1948–1994,Sociologický obzor
114,2175,104,Sociologie marxisticko-leninská,Sociologický obzor
116,2219,104,Sociologie slovenská,Sociologický obzor
118,2128,109,Sociologie česká v l. 1948–1994,Studia sociologica
120,2128,114,Sociologie česká v l. 1948–1994,Sociologická knižnice nakladatelství Svoboda
122,2128,115,Sociologie česká v l. 1948–1994,Sociologické nakladatelství (SLON)
