index,Sociolog_1_ID,Sociolog_2_ID,Sociolog_1,Sociolog_2
1,1,2,Adamec Čeněk,Alan Josef
2,1,3,Adamec Čeněk,Árnason Johann Pál
3,1,4,Adamec Čeněk,Auerhan Jan
4,1,5,Adamec Čeněk,Beneš Edvard
5,1,6,Adamec Čeněk,Bláha Inocenc Arnošt
6,1,7,Adamec Čeněk,Blažek Bohuslav
7,1,8,Adamec Čeněk,Boháč Antonín
8,1,10,Adamec Čeněk,Brokl Lubomír
9,1,11,Adamec Čeněk,Butter Oskar
10,1,12,Adamec Čeněk,Čapek Emil
11,1,13,Adamec Čeněk,Čapek Karel
12,1,14,Adamec Čeněk,Čecháček Jaroslav
13,1,15,Adamec Čeněk,Čep Tomáš
14,1,17,Adamec Čeněk,Disman Miroslav
15,1,18,Adamec Čeněk,Dubská Irena
16,1,20,Adamec Čeněk,Dušek Jan
17,1,21,Adamec Čeněk,Fajfr František
18,1,22,Adamec Čeněk,Filipcová Blanka
19,1,23,Adamec Čeněk,Filipec Jindřich
20,1,24,Adamec Čeněk,Fischer Josef Ludvík
21,1,25,Adamec Čeněk,Foret Miroslav
22,1,26,Adamec Čeněk,Fořt Josef
23,1,27,Adamec Čeněk,Foustka Břetislav
24,1,28,Adamec Čeněk,Frič Pavol
25,1,29,Adamec Čeněk,Fuchs Alfred
26,1,30,Adamec Čeněk,Gabal Ivan
27,1,31,Adamec Čeněk,Gaďourek Ivan
28,1,32,Adamec Čeněk,Gál Fedor
29,1,33,Adamec Čeněk,Galla Karel
30,1,34,Adamec Čeněk,Geist Bohumil
31,1,35,Adamec Čeněk,Gellner Ernest (Arnošt)
32,1,36,Adamec Čeněk,Hájek František
33,1,37,Adamec Čeněk,Hájek Mojmír
34,1,38,Adamec Čeněk,Hampl Martin
35,1,39,Adamec Čeněk,Hanáček Jaroslav
36,1,40,Adamec Čeněk,Havelka Miloš
37,1,41,Adamec Čeněk,Hirner Alexander
38,1,42,Adamec Čeněk,Hník František Maria
39,1,43,Adamec Čeněk,Hrdina Josef
40,1,44,Adamec Čeněk,Hudec Josef
41,1,45,Adamec Čeněk,Huláková Marie
42,1,46,Adamec Čeněk,Chalupný Emanuel
43,1,47,Adamec Čeněk,Charvát František
44,1,48,Adamec Čeněk,Illner Michal
45,1,49,Adamec Čeněk,Jeřábek Hynek
46,1,50,Adamec Čeněk,Jodl Miroslav
47,1,51,Adamec Čeněk,Jochmann Vladimír
48,1,52,Adamec Čeněk,Jungmann Bohumil
49,1,53,Adamec Čeněk,Kabele Jiří
50,1,54,Adamec Čeněk,Kadlec Vladimír
51,1,55,Adamec Čeněk,Kadlecová Erika
52,1,57,Adamec Čeněk,Kaláb Miloš
53,1,58,Adamec Čeněk,Kalandra Záviš
54,1,59,Adamec Čeněk,Kalinová Lenka
55,1,60,Adamec Čeněk,Kapr Jaroslav
56,1,61,Adamec Čeněk,Kárníková Ludmila
57,1,62,Adamec Čeněk,Keller Jan
58,1,63,Adamec Čeněk,Kettner Josef
59,1,65,Adamec Čeněk,Klofáč Jaroslav
60,1,66,Adamec Čeněk,Kohn Jindřich
61,1,67,Adamec Čeněk,Kohout Jaroslav
62,1,68,Adamec Čeněk,Kolaja Jiří Tomáš
63,1,69,Adamec Čeněk,Korčák Jaromír
64,1,70,Adamec Čeněk,Kozák Jan Blahoslav
65,1,71,Adamec Čeněk,Köttner Mojmír
66,1,72,Adamec Čeněk,Král Josef
67,1,73,Adamec Čeněk,Krejčí František
68,1,74,Adamec Čeněk,Krejčí Jaroslav
69,1,75,Adamec Čeněk,Krejčí Karel
70,1,76,Adamec Čeněk,Kučera Milan
71,1,77,Adamec Čeněk,Kunte Ladislav
72,1,78,Adamec Čeněk,Lamser Václav
73,1,79,Adamec Čeněk,Librová Hana
74,1,81,Adamec Čeněk,Linhart Jiří
75,1,82,Adamec Čeněk,Macek Josef
76,1,83,Adamec Čeněk,Macků Jan
77,1,84,Adamec Čeněk,Machonin Pavel
78,1,85,Adamec Čeněk,Machotka Otakar
79,1,86,Adamec Čeněk,Maiwald Karel
80,1,88,Adamec Čeněk,Malý Rudolf Ina
81,1,89,Adamec Čeněk,Mareš Petr
82,1,91,Adamec Čeněk,Masaryk Tomáš Garrigue
83,1,92,Adamec Čeněk,Masaryková Alice
84,1,93,Adamec Čeněk,Matějů Petr
85,1,94,Adamec Čeněk,Mertl Jan
86,1,95,Adamec Čeněk,Mlčoch Lubomír
87,1,96,Adamec Čeněk,Modráček František
88,1,97,Adamec Čeněk,Možný Ivo
89,1,98,Adamec Čeněk,Musil Jiří
90,1,99,Adamec Čeněk,Nehněvajsa Jiří
91,1,100,Adamec Čeněk,Nejedlý Zdeněk
92,1,102,Adamec Čeněk,Nový Lubomír
93,1,103,Adamec Čeněk,Obrdlík Antonín
94,1,104,Adamec Čeněk,Obrdlíková Juliana
95,1,105,Adamec Čeněk,Ovesný Miroslav
96,1,106,Adamec Čeněk,Pavlík Zdeněk
97,1,107,Adamec Čeněk,Peroutka Ferdinand
98,1,108,Adamec Čeněk,Petrusek Miloslav
99,1,109,Adamec Čeněk,Pistorius Theodor
100,1,110,Adamec Čeněk,Porket Josef Ludvík
101,1,111,Adamec Čeněk,Potůček Martin
102,1,112,Adamec Čeněk,Potužil František
103,1,114,Adamec Čeněk,Rabušic Ladislav
104,1,115,Adamec Čeněk,Rádl Emanuel
105,1,116,Adamec Čeněk,Reif Gustav
106,1,117,Adamec Čeněk,Reich Edvard
107,1,118,Adamec Čeněk,Reyl František
108,1,119,Adamec Čeněk,Richta Radovan
109,1,120,Adamec Čeněk,Rouček Joseph Slabey
110,1,121,Adamec Čeněk,Rychtaříková Jitka
111,1,122,Adamec Čeněk,Rýznar Václav
112,1,123,Adamec Čeněk,Řehák Jan
113,1,124,Adamec Čeněk,Sedláček Jan
114,1,125,Adamec Čeněk,Sedláček Oto
115,1,126,Adamec Čeněk,Sekot Aleš
116,1,127,Adamec Čeněk,Schoenbaum Emil
117,1,128,Adamec Čeněk,Sirovátka Tomáš
118,1,130,Adamec Čeněk,Slejška Dragoslav
119,1,132,Adamec Čeněk,Solař Josef
120,1,133,Adamec Čeněk,Soldát Alois
121,1,134,Adamec Čeněk,Sorokin Pitirim Alexandrovič
122,1,135,Adamec Čeněk,Srb Vladimír
123,1,136,Adamec Čeněk,Stark Werner
124,1,137,Adamec Čeněk,Strmiska Zdeněk
125,1,138,Adamec Čeněk,Střítecký Jaroslav
126,1,139,Adamec Čeněk,Suda Zdeněk
127,1,140,Adamec Čeněk,Sviták Ivan
128,1,141,Adamec Čeněk,Svoboda Ludvík
129,1,142,Adamec Čeněk,Šapoval Mykyta
130,1,143,Adamec Čeněk,Šiklová Jiřina
131,1,144,Adamec Čeněk,Šíma Jaroslav
